,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt_x,git_closed_dt_x,git_created_dt_y,git_closed_dt_y,git_created_dt,git_closed_dt
191,elwikivoyage,el.wikivoyage.org,wikivoyage,el,Greek,open,public,public,Greek Wikivoyage,2013-05-16,,2013-05-16,,2013-05-16,
192,elwiktionary,el.wiktionary.org,wiktionary,el,Greek,open,public,public,Greek Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
193,emlwiki,eml.wikipedia.org,wikipedia,eml,Emiliano-Romagnolo,open,public,public,Emiliano-Romagnolo Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
194,enwiki,en.wikipedia.org,wikipedia,en,English,open,public,public,English Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
195,enwikibooks,en.wikibooks.org,wikibooks,en,English,open,public,public,English Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
196,enwikinews,en.wikinews.org,wikinews,en,English,open,public,public,English Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
197,enwikiquote,en.wikiquote.org,wikiquote,en,English,open,public,public,English Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
198,enwikisource,en.wikisource.org,wikisource,en,English,open,public,public,English Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
199,enwikiversity,en.wikiversity.org,wikiversity,en,English,open,public,public,English Wikiversity,2012-02-24,,2012-02-24,,2012-02-24,
200,enwikivoyage,en.wikivoyage.org,wikivoyage,en,English,open,public,public,English Wikivoyage,2012-11-06,,2012-11-06,,2012-11-06,
201,enwiktionary,en.wiktionary.org,wiktionary,en,English,open,public,public,English Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
202,eowiki,eo.wikipedia.org,wikipedia,eo,Esperanto,open,public,public,Esperanto Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
203,eowikibooks,eo.wikibooks.org,wikibooks,eo,Esperanto,open,public,public,Esperanto Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
204,eowikinews,eo.wikinews.org,wikinews,eo,Esperanto,open,public,public,Esperanto Wikinews,2012-05-08,,2012-05-08,,2012-05-08,
205,eowikiquote,eo.wikiquote.org,wikiquote,eo,Esperanto,open,public,public,Esperanto Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
206,eowikisource,eo.wikisource.org,wikisource,eo,Esperanto,open,public,public,Esperanto Wikisource,2012-05-08,,2012-05-08,,2012-05-08,
207,eowikivoyage,eo.wikivoyage.org,wikivoyage,eo,Esperanto,open,public,public,Esperanto Wikivoyage,2020-12-07,,2020-12-07,,2020-12-07,
208,eowiktionary,eo.wiktionary.org,wiktionary,eo,Esperanto,open,public,public,Esperanto Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
209,eswiki,es.wikipedia.org,wikipedia,es,Spanish,open,public,public,Spanish Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
210,eswikibooks,es.wikibooks.org,wikibooks,es,Spanish,open,public,public,Spanish Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
211,eswikinews,es.wikinews.org,wikinews,es,Spanish,open,public,public,Spanish Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
212,eswikiquote,es.wikiquote.org,wikiquote,es,Spanish,open,public,public,Spanish Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
213,eswikisource,es.wikisource.org,wikisource,es,Spanish,open,public,public,Spanish Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
214,eswikiversity,es.wikiversity.org,wikiversity,es,Spanish,open,public,public,Spanish Wikiversity,2012-02-24,,2012-02-24,,2012-02-24,
215,eswikivoyage,es.wikivoyage.org,wikivoyage,es,Spanish,open,public,public,Spanish Wikivoyage,2013-01-03,,2013-01-03,,2013-01-03,
216,eswiktionary,es.wiktionary.org,wiktionary,es,Spanish,open,public,public,Spanish Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
217,etwiki,et.wikipedia.org,wikipedia,et,Estonian,open,public,public,Estonian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
218,etwikibooks,et.wikibooks.org,wikibooks,et,Estonian,open,public,public,Estonian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
